account,tweets,following,followers,month,likes,lists,moments,dept
https://twitter.com/iandraffairs,2273,1109,956,Jul-16,214,0,0,IMR
https://twitter.com/cityofseattle/,3287,1523,95812,Jul-16,145,27,0,ITD
https://twitter.com/civictechsea ,1009,655,722,Jul-16,1097,0,0,ITD
https://twitter.com/diginclusion,892,292,704,Jul-16,115,2,0,ITD
https://twitter.com/seatechboard,237,2294,611,Jul-16,169,0,0,ITD
https://twitter.com/seattlechannel,6971,876,10820,Jul-16,1549,0,0,ITD
https://twitter.com/seattlecityjobs,937,613,975,Jul-16,373,0,0,ITD
https://twitter.com/seattlecto,617,272,1429,Jul-16,340,1,0,ITD
https://twitter.com/seattleopendata,33,51,166,Jul-16,0,0,0,ITD
https://twitter.com/bruceharrell,310,143,3572,Jul-16,0,0,0,LEG
https://twitter.com/cmkshama,3465,2166,19869,Jul-16,253,1,0,LEG
https://twitter.com/cmlgonzalez,205,207,915,Jul-16,36,0,0,LEG
https://twitter.com/cmmikeobrien,841,1458,4719,Jul-16,123,0,0,LEG
https://twitter.com/cmrobjohnson,185,642,857,Jul-16,200,0,0,LEG
https://twitter.com/councilmantim,1096,214,4609,Jul-16,37,0,0,LEG
https://twitter.com/d5juarez,329,377,740,Jul-16,175,0,0,LEG
https://twitter.com/lisa_herbold,20,71,626,Jul-16,1,0,0,LEG
https://twitter.com/sallybagshaw,3658,303,5202,Jul-16,220,9,0,LEG
https://twitter.com/seattlecouncil,7673,481,31787,Jul-16,1109,1,0,LEG
https://twitter.com/mayoredmurray,3975,922,18594,Jul-16,1198,11,0,MOS
https://twitter.com/humanrights206,694,844,525,Jul-16,4,0,0,OCR
https://twitter.com/seattlelgbt,745,467,709,Jul-16,2,0,0,OCR
https://twitter.com/seawomenscomm,456,215,492,Jul-16,56,0,0,OCR
https://twitter.com/seattleeconomy ,435,674,637,Jul-16,71,0,0,OED
https://twitter.com/alertseattle,54,295,2269,Jul-16,17,1,0,OEM
https://twitter.com/seattlerdy,63,1128,306,Jul-16,2,1,0,OEM
https://twitter.com/seattleose,1559,703,1280,Jul-16,29,1,0,OSE
https://twitter.com/seattle2035,1122,241,838,Jul-16,63,0,0,PCD
https://twitter.com/seattleopcd,465,99,326,Jul-16,61,0,0,PCD
https://twitter.com/seattleparks,6024,1100,23791,Jul-16,876,0,0,PKS
https://twitter.com/seattleparkways,225,3796,735,Jul-16,1155,0,0,PKS
https://twitter.com/dennysubstation,589,346,257,Jul-16,218,1,0,SCL
https://twitter.com/seacitylight,10391,287,17960,Jul-16,3112,2,0,SCL
https://twitter.com/skagittours,518,551,311,Jul-16,319,6,0,SCL
https://twitter.com/seattlefire,3722,315,64488,Jul-16,127,0,0,SFD
https://twitter.com/seamunicourt,16,8,80,Jul-16,0,1,0,SMC
https://twitter.com/getyourbikeback,43,4,1097,Jul-16,0,0,0,SPD
https://twitter.com/getyourcarback,18598,11,2105,Jul-16,7,0,0,SPD
https://twitter.com/seattlepd,18897,1955,232770,Jul-16,2953,0,0,SPD
https://twitter.com/splbuzz,19116,1094,16079,Jul-16,9845,2,0,SPL
https://twitter.com/seattlegreenbiz,1604,506,346,Jul-16,1,0,0,SPU
https://twitter.com/seattlespu,2659,529,3372,Jul-16,420,9,0,SPU
https://twitter.com/spu_cz,243,33,144,Jul-16,370,1,0,SPU
https://twitter.com/spu_wx,134,7,15,Jul-16,12,0,0,SPU
https://twitter.com/seattlearts,5587,1336,82961,Aug-16,3539,2,0,ARTS
https://twitter.com/seattlecenter,21289,4995,28265,Aug-16,14761,6,0,CEN
https://twitter.com/seacpc,112,106,179,Aug-16,3,0,0,CPC
https://twitter.com/seattledci,3316,735,4554,Aug-16,514,17,0,DCI
https://twitter.com/seattledpd,8,40,29,Aug-16,0,0,0,DCI
https://twitter.com/seaeec,40,36,70,Aug-16,0,0,0,DOE
https://twitter.com/seattleprek,244,162,299,Aug-16,13,0,0,DOE
https://twitter.com/seaneighborhood,2265,1310,7978,Aug-16,544,4,0,DON
https://twitter.com/sdotbridges,50324,14,868,Aug-16,8,0,0,DOT
https://twitter.com/seattledot,57020,186,93786,Aug-16,1123,0,0,DOT
https://twitter.com/waterfrontsea,2524,380,4189,Aug-16,373,4,0,DOT
https://twitter.com/seattlefm,2616,899,9223,Aug-16,184,1,0,FAM
https://twitter.com/seattleanimal,1950,212,1515,Aug-16,113,0,0,FAS
https://twitter.com/seattlehsd,550,848,991,Aug-16,21,0,0,HSD
https://twitter.com/iandraffairs,2289,1111,978,Aug-16,219,0,0,IMR
https://twitter.com/cityofseattle/,3290,1522,102194,Aug-16,145,27,0,ITD
https://twitter.com/civictechsea ,1167,695,808,Aug-16,1275,1,0,ITD
https://twitter.com/diginclusion,908,293,714,Aug-16,123,2,0,ITD
https://twitter.com/seatechboard,267,2326,631,Aug-16,197,0,0,ITD
https://twitter.com/seattlechannel,7046,888,10868,Aug-16,1574,0,0,ITD
https://twitter.com/seattlecityjobs,944,615,984,Aug-16,386,0,0,ITD
https://twitter.com/seattlecto,626,273,1456,Aug-16,344,1,0,ITD
https://twitter.com/seattleopendata,33,51,171,Aug-16,0,0,0,ITD
https://twitter.com/bruceharrell,311,143,3628,Aug-16,0,0,0,LEG
